Tuition & Fees,Room & Board,Books & Supplies,Transportation,Personal Expenses,Estimated Federal Pell Grant,State Grant,Northeastern University Award,SEOG,Parent Contribution,Student Contribution,AGI
65441,21620,1000,900,900,7395,1600,70150,3000,0,2000,30000
65441,21620,1000,900,900,7395,1600,70150,3000,0,2000,32000
65441,21620,1000,900,900,7395,1600,70150,3000,0,2000,34000
65441,21620,1000,900,900,7395,1600,70150,3000,0,2000,36000
65441,21620,1000,900,900,7395,1600,70150,3000,0,2000,38000
65441,21620,1000,900,900,7395,1600,70150,3000,0,2000,40000
65441,21620,1000,900,900,7395,1600,70150,3000,0,2000,42000
65441,21620,1000,900,900,7395,1600,70150,3000,0,2000,44000
65441,21620,1000,900,900,7395,1600,70150,3000,0,2000,46000
65441,21620,1000,900,900,7395,1600,70150,3000,0,2000,48000
65441,21620,1000,900,900,7395,1600,70150,3000,0,2000,50000
65441,21620,1000,900,900,7395,1600,70150,3000,0,2000,52000
65441,21620,1000,900,900,7395,1600,70150,3000,0,2000,54000
65441,21620,1000,900,900,7395,1600,69850,3000,300,2000,56000
65441,21620,1000,900,900,7395,1600,69550,3000,600,2000,58000
65441,21620,1000,900,900,7080,1600,69550,3000,900,2000,60000
65441,21620,1000,900,900,6675,1200,70000,3000,1250,2000,62000
65441,21620,1000,900,900,6265,1200,70100,3000,1550,2000,64000
65441,21620,1000,900,900,5860,900,70550,3000,1850,2000,66000
65441,21620,1000,900,900,5455,900,70650,3000,2150,2000,68000
65441,21620,1000,900,900,5050,900,70750,3000,2450,2000,70000
65441,21620,1000,900,900,4640,700,70950,3000,2850,2000,72000
65441,21620,1000,900,900,4220,700,71050,3000,3150,2000,74000
65441,21620,1000,900,900,3755,600,71350,3000,3450,2000,76000
65441,21620,1000,900,900,3295,600,71500,3000,3750,2000,78000
65441,21620,1000,900,900,2795,600,71700,3000,4050,2000,80000
65441,21620,1000,900,900,2260,600,71700,3000,4400,2200,82000
65441,21620,1000,900,900,1725,null,75350,null,4700,2350,84000
65441,21620,1000,900,900,1125,null,75500,null,5000,2500,86000
65441,21620,1000,900,900,500,null,75700,null,5300,2650,88000
65441,21620,1000,900,900,null,null,75900,null,5600,2650,90000
65441,21620,1000,900,900,null,null,75600,null,5900,2650,92000
65441,21620,1000,900,900,null,null,75300,null,6200,2650,94000
65441,21620,1000,900,900,null,null,74950,null,6550,2650,96000
65441,21620,1000,900,900,null,null,74850,null,6850,2650,98000
65441,21620,1000,900,900,null,null,74550,null,7150,2650,100000
65441,21620,1000,900,900,null,null,74150,null,7550,2650,102000
65441,21620,1000,900,900,null,null,73850,null,7850,2650,104000
65441,21620,1000,900,900,null,null,73550,null,8150,2650,106000
65441,21620,1000,900,900,null,null,73200,null,8500,2650,108000
65441,21620,1000,900,900,null,null,72850,null,8850,2650,110000
65441,21620,1000,900,900,null,null,72450,null,9250,2650,112000
65441,21620,1000,900,900,null,null,72100,null,9600,2650,114000
65441,21620,1000,900,900,null,null,71700,null,10000,2650,116000
65441,21620,1000,900,900,null,null,71350,null,10350,2650,118000
65441,21620,1000,900,900,null,null,70950,null,10750,2650,120000
65441,21620,1000,900,900,null,null,68800,null,12900,2650,130000
65441,21620,1000,900,900,null,null,68200,null,15500,2650,140000
65441,21620,1000,900,900,null,null,65550,null,18150,2650,150000
65441,21620,1000,900,900,null,null,64100,null,19600,2650,155000
65441,21620,1000,900,900,null,null,62650,null,21050,2650,160000
65441,21620,1000,900,900,null,null,61100,null,22600,2650,165000
65441,21620,1000,900,900,null,null,59500,null,24200,2650,170000
65441,21620,1000,900,900,null,null,57850,null,25850,2650,175000
65441,21620,1000,900,900,null,null,55700,null,28000,2650,180000
65441,21620,1000,900,900,null,null,53900,null,29800,2650,185000
65441,21620,1000,900,900,null,null,52050,null,31650,2650,190000
65441,21620,1000,900,900,null,null,50100,null,33600,2650,195000
65441,21620,1000,900,900,null,null,48100,null,35600,2650,200000
65441,21620,1000,900,900,null,null,46050,null,37650,2650,205000
65441,21620,1000,900,900,null,null,43950,null,39750,2650,210000
65441,21620,1000,900,900,null,null,41850,null,41850,2650,215000
65441,21620,1000,900,900,null,null,39750,null,43950,2650,220000
65441,21620,1000,900,900,null,null,37650,null,46050,2650,225000
65441,21620,1000,900,900,null,null,34950,null,48750,2650,230000
65441,21620,1000,900,900,null,null,32850,null,50850,2650,235000
65441,21620,1000,900,900,null,null,30750,null,52950,2650,240000
65441,21620,1000,900,900,null,null,28650,null,55050,2650,245000
65441,21620,1000,900,900,null,null,26500,null,57200,2650,250000
65441,21620,1000,900,900,null,null,24450,null,59250,2650,255000
65441,21620,1000,900,900,null,null,22350,null,61350,2650,260000
65441,21620,1000,900,900,null,null,20250,null,63450,2650,265000
65441,21620,1000,900,900,null,null,18150,null,65550,2650,270000
65441,21620,1000,900,900,null,null,16050,null,67650,2650,275000
65441,21620,1000,900,900,null,null,13250,null,70450,2650,280000
65441,21620,1000,900,900,null,null,11150,null,72550,2650,285000
65441,21620,1000,900,900,null,null,9000,null,74700,2650,290000
65441,21620,1000,900,900,null,null,6800,null,76900,2650,295000
65441,21620,1000,900,900,null,null,4500,null,79200,2650,300000
65441,21620,1000,900,900,null,null,1450,null,82250,2650,305000
65441,21620,1000,900,900,null,null,null,null,84550,2650,310000
65441,21620,1000,900,900,null,null,null,null,86900,2650,315000
65441,21620,1000,900,900,null,null,null,null,89200,2650,320000
65441,21620,1000,900,900,null,null,null,null,91500,2650,325000
65441,21620,1000,900,900,null,null,null,null,93800,2650,330000
65441,21620,1000,900,900,null,null,null,null,96150,2650,335000
65441,21620,1000,900,900,null,null,null,null,98450,2650,340000
65441,21620,1000,900,900,null,null,null,null,100750,2650,345000
65441,21620,1000,900,900,null,null,null,null,103050,2650,350000
65441,21620,1000,900,900,null,null,null,null,105400,2650,355000
65441,21620,1000,900,900,null,null,null,null,107700,2650,360000
65441,21620,1000,900,900,null,null,null,null,110000,2650,365000
65441,21620,1000,900,900,null,null,null,null,112300,2650,370000
65441,21620,1000,900,900,null,null,null,null,114600,2650,375000
65441,21620,1000,900,900,null,null,null,null,116950,2650,380000
65441,21620,1000,900,900,null,null,null,null,119250,2650,385000
65441,21620,1000,900,900,null,null,null,null,121550,2650,390000
65441,21620,1000,900,900,null,null,null,null,123850,2650,395000
65441,21620,1000,900,900,null,null,null,null,126200,2650,400000
